Date,Venue,City,Extras,Notes
"Wednesday, October 4, 2006, ",Glendale Arena,"Phoenix, Arizona",,
"Friday, October 20, 2006",Raley Field,"Sacramento, California",,
"Saturday, October 21, 2006",Indian Wells Tennis Garden,"Indian Wells, California",,
"Saturday, October 28, 2006",Vegoose Music Festival,"Las Vegas, Nevada",,
,Sam Boyd Stadium,,,
,,,,
"Saturday, August 25, 2007",Hampton Social,"East Hampton, New York",,
,Ross School,,,
"Saturday, April 12, 2008",Benefit for the Midnight Mission,"Malibu, California",,
,Malibu Performing Arts Center,,,
"Monday, April 14, 2008",Santa Cruz Civic Auditorium,"Santa Cruz, California",,
"Wednesday, April 16, 2008",Fillmore Auditorium,"San Francisco, California",,
"Thursday, April 17, 2008",Fillmore Auditorium,"San Francisco, California",,
"Saturday, April 19, 2008",Arlington Theatre,"Santa Barbara, California",,
"Sunday, April 20, 2008",Ventura Theatre,"Ventura, California",,
"Tuesday, April 22, 2008",Concerts in the Park,"Alpine, California",,
"Friday, April 25, 2008",Troubadour,"West Hollywood, California",,
"Saturday, April 26, 2008",Troubadour,"West Hollywood, California",,
"Monday, April 28, 2008",Troubadour,"West Hollywood, California",,
"Tuesday, April 29, 2008",Troubadour,"West Hollywood, California",,
"Thursday, May 1, 2008",Troubadour,"West Hollywood, California",,
"Friday, May 2, 2008",Troubadour,"West Hollywood, California",,
"Saturday, April 12, 2008",Benefit for the Midnight Mission at Malibu PAC,"Malibu, California",,
"Monday, April 14, 2008",Santa Cruz Civic Auditorium,"Santa Cruz, California",,
"Wednesday, April 16, 2008",Fillmore,"San Francisco, California",,
"Thursday, April 17, 2008",Fillmore,"San Francisco, California",,
"Saturday, April 19, 2008",Arlington Theatre,"Santa Barbara, California",,
"Sunday, April 20, 2008",Ventura Theatre,"Ventura, California",,
"Tuesday, April 22, 2008",Concerts in the Park,"Alpine, California",,
"Friday, April 25, 2008",Troubadour,"West Hollywood, California",,
"Saturday, April 26, 2008",Troubadour,"West Hollywood, California",,
"Monday, April 28, 2008",Troubadour,"West Hollywood, California",,
"Tuesday, April 29, 2008",Troubadour,"West Hollywood, California",,
"Thursday, May 1, 2008",Troubadour,"West Hollywood, California",,
"Friday, May 2, 2008",Troubadour,"West Hollywood, California",,
"Friday, May 30, 2008",Van Andel Arena,"Grand Rapids, Michigan",,
"Saturday, May 31, 2008",The Palace of Auburn Hills,"Auburn Hills, Michigan",,
"Tuesday, June 3, 2008",Air Canada Centre,"Toronto, Ontario",,
"Thursday, June 5, 2008",Wachovia Center,"Philadelphia, Pennsylvania",,
"Friday, June 6, 2008",Wachovia Center,"Philadelphia, Pennsylvania",,
"Sunday, June 8, 2008",Nissan Pavilion,"Bristow, Virginia",,
"Tuesday, June 10, 2008",Post-Gazette Pavillion at Star Lake,"Burgettstown, Pennsylvania",,
"Wednesday, June 11, 2008",New England Dodge Music Center,"Hartford, Connecticut",,
"Friday, June 13, 2008",TD Banknorth Garden,"Boston, Massachusetts",,
"Saturday, June 14, 2008",Tweeter Center,"Mansfield, Massachusetts",,
"Wednesday, June 18, 2008",Prudential Center,"Newark, New Jersey",,
"Saturday, June 21, 2008",Darien Lake Performing Arts Center,"Darien Center, New York",,
"Sunday, June 22, 2008",Blossom Music Center,"Cuyahoga Falls, Ohio",,
"Wednesday, June 25, 2008",Hollywood Bowl,"Los Angeles, California",,
"Wednesday, July 2, 2008",United Center,"Chicago, Illinois",,
"Thursday, July 3, 2008",Verizon Wireless Music Center,"Noblesville, Indiana",,
"Saturday, July 5, 2008",Summerfest,"Milwaukee, Wisconsin",,
,Marcus Amphitheater,,,
"Tuesday, July 8, 2008",Riverbend Music Center,"Cincinnati, Ohio",,
"Wednesday, July 9, 2008",Verizon Wireless Amphitheatre at Encore Park,"Atlanta, Georgia",,
"Friday, July 11, 2008",Charlotte Verizon Wirelss Amphitheatre,"Charlotte, North Carolina",,
"Saturday, July 12, 2008",Walnut Creek Amphitheatre,"Raleigh, North Carolina",,
"Tuesday, July 15, 2008",Bank Atlantic Centre,"Sunrise, Florida",,
"Wednesday, July 16, 2008",St Pete Times Forum,"Tampa, Florida",,
"Saturday, July 19, 2008",Outer Fields at Dick's Sporting Goods Park,"Denver, Colorado",,
"Sunday, July 20, 2008",Qwest Center Omaha,"Omaha, Nebraska",,
"Wednesday, July 23, 2008",Target Center,"Minneapolis, Minnesota",,
"Saturday, July 26, 2008",Pemberton Festival,"Pemberton, British Columbia",,
"Thursday, August 7, 2008",Verizon Wireless Amphitheatre,"Maryland Heights, Missouri",,
"Saturday, August 9, 2008",MTS Centre,"Winnipeg, Manitoba",,
"Monday, August 11, 2008",Pengrowth Saddledome,"Calgary, Alberta",,
"Tuesday, August 12, 2008",Rexall Place/Northlands Park,"Edmonton, Alberta",,
"Friday, August 15, 2008",Gorge Amphitheatre,"George, Washington",,
"Saturday, August 16, 2008",Gorge Amphitheatre,"George, Washington",,
"Wednesday, August 20, 2008",Jobing.com Arena,"Glendale, Arizona",Setlist,
"Friday, August 22, 2008",Verison Wireless Amphitheater,"Irvine, California",,
"Saturday, August 23, 2008",Golden Gate Park,"San Francisco, California",,
"Tuesday, August 26, 2008",Verizon Wireless Amphitheatre,"Selma, Texas",,
"Wednesday, August 27, 2008",American Airlines Center,"Dallas, Texas",,
"Friday, August 29, 2008",Cynthia Woods Mitchell Pavillion,"The Woodlands, Texas",,
"Wednesday, May 12, 2010",Freedom Hall,"Louisville, Kentucky",,
"Wednesday, May 19, 2010",Sprint Center,"Kansas City, Missouri",,
"Thursday, May 20, 2010",Credit Union Centre,"Saskatoon, Saskatchewan",,
"Friday, May 21, 2010",St Pete Times Forum,"Tampa, Florida",,
"Tuesday, June 1, 2010",Red Rocks Ampitheater,"Denver, Colorado",,
"Thursday, June 3, 2010",Red Rocks Ampitheater ,"Denver, Colorado",,
"Saturday, June 5, 2010",Oracle Arena,"Oakland, California",,
"Tuesday, June 8, 2010",GM Place,"Vancouver, British Columbia",,
"Friday, June 11, 2010",The Gorge,"Seattle, Washington",,
"Saturday, June 12, 2010",The Gorge,"Seattle, Washington",,
"Tuesday, June 15, 2010",Pengrowth Saddeldome,"Calgary, Alberta",,
"Wednesday, June 16, 2010",Rexall Place,"Edmonton, Alberta",,
"Friday, June 18, 2010",Credit Union Centre,"Saskatoon, Saskatchewan",,
"Saturday, June 19, 2010",MTS Center,"Winnipeg, Manitoba",Setlist,
"Tuesday, June 22, 2010",Xcel Energy Center,"St. Paul, Minnesota",Setlist,
"Wednesday, June 23, 2010",Qwest Center,"Omaha, Nebraska",,
"Friday, June 25, 2010",Summerfest,"Milwaukee, Wisconsin",,
,Marcus Amphitheater,,,
"Saturday, June 26, 2010",Summerfest,"Milwaukee, Wisconsin",,
,Marcus Amphitheater,,,
"Saturday, July 10, 2010",Verizon Wireless Music Center,"Indianapolis, Indiana",,
"Tuesday, July 13, 2010",Sprint Center,"Kansas City, Missouri",,
"Thursday, July 15, 2010",Riverbend Music Center ,"Cincinnati, Ohio. Liberty went!",,
"Saturday, July 17, 2010",United Center,"Chicao, Illinois",,
"Sunday, July 18, 2010",Verizon Wireless Amphitheatre,"St. Louis, Missouri",Setlist,
"Thursday, July 22, 2010",Palace of Auburn Hills,"Detroit, Michigan",,
"Saturday, July 24, 2010",First Niagara Pavillion,"Pittsburgh, Pennsylvania",,
"Wednesday, July 28, 2010",Madison Square Garden,"New York City, New York",,
"Saturday, July 31, 2010",Wachovia Center,"Philadelphia, Pennsylvania",,
"Sunday, August 1, 2010",Wachovia Center,"Philadelphia, Pennsylvania",,
"Wednesday, August 11, 2010",Philips Arena,"Atlanta, Georgia",,
"Thursday, August 12, 2010",Sommet Center,"Nashville, Tennessee",Setlist,
"Saturday, August 14, 2010",Darien Lake Performing Arts Center,"Darien Lake, New York",,
"Sunday, August 15, 2010",Jiffy Lube Live,"Washington, DC",,
"Tuesday, August 17, 2010",Comcast Theater,"Hartford, Connecticut",,
"Thursday, August 19, 2010",Comcast Center,"Boston, Massachusetts",,
"Saturday, August 21, 2010",Comcast Center,"Boston, Massachusetts",,
"Tuesday, August 24, 2010",Izod Center,"East Rutherford, New Jersey",,
"Wednesday, August 25, 2010",Air Canada Centre,"Toronto, Ontario",Setlist,
"Friday, August 27, 2010",Saratoga Springs Performing Arts Center,"Saratoga Springs, New York",,
"Saturday, August 28, 2010",Darien Lake Performing Arts Center,"Darien Lake, New York",,
"Tuesday, August 31, 2010",Blossom Music Center,"Cuyahoga Falls, Ohio",Setlist,
"Thursday, September 16, 2010",St Pete Times Forum,"Tampa, Florida",,
"Saturday, September 18, 2010",TWC Music Pavillion at Walnut Creek,"Raleigh, North Carolina",,
"Sunday, September 19, 2010",Charlotte Verizon Wireless Amphitheatre,"Charlotte, Noorth Carolina",,
"Tuesday, September 21, 2010",Superpages.com Center,"Dallas, Texas",,
"Thursday, September 23, 2010",BOK Center,"Tulsa, Oklahoma",,
"Friday, September 24, 2010",Cynthia Woods Mitchell Pavillion,"The Woodlands, Texas",,
"Wednesday, October 1, 2010",Hollywood Bowl,"Los Angeles, California ",,
"Thursday, October 2, 2010",Verizon Wireless Amphitheatre,"Irvine, California",,
"Sunday, October 5, 2010",Cricket Wireless Amphitheatre,"San Diego, California",,
"Tuesday, October 7, 2010",US Airways Center,"Phoenix, Arizona",,
,,,,
"Friday, October 29, 2010",Plaza Del Sol Performing Arts Center,"Northridge, California",Setlist,
"Saturday, October 30, 2010",Plaza Del Sol Performing Arts Center,"Northridge, California",,
"Thursday, April 19, 2012",1st Bank Center,"Broomfield, Colorado",Setlist,
"Saturday, April 21, 2012",Verizon Arena,"North Little Rock, Arkansas",Setlist,
,,,Review,
"Tuesday, April 24, 2012",Tingley Coliseum,"Albuquerque, New Mexico",Setlist,
"Thursday, April 26, 2012",Intrust Bank Arena,"Wichita, Kansas",Setlist,
,,,Review,
"Saturday, April 28, 2012",New Orleans Jazz & Heritage Festival,"New Orleans, Louisiana",Setlist,
,,,Review,
"Sunday, April 29, 2012",Verizon Wireless Amphitheatre,"Alpharetta, Georgia",Setlist,
"Tuesday, May 1, 2012",Germain Arena,"Estero, Florida",Setlist,
,,,Review #1,
,,,Review #2,
,,,Review #3,
"Thursday, May 3, 2012",Amway Center,"Orlando, Florida",Setlist,
,,,Review,
"Saturday, May 5, 2012",Frank Erwin Center,"Austin, Texas",Setlist,
"Thursday, May 31, 2012",Metro Center,"Halifax, Nova Scotia",Setlist,
,,,Review #1,
,,,Review #2,
"Saturday, June 2, 2012",Mile One Center,"St. John's, Newfoundland",Setlist,
,,,Review,
"Sunday, June 3, 2012",Mile One Center,"St. John's, Newfoundland",Setlist,
"Thursday, June 7, 2012",02 Arena,"Dublin, Ireland",Setlist,
,,,Review,
"Friday, June 8, 2012",The Marquee,"Cork, Ireland",Setlist,
"Sunday, June 10, 2012",02 World,"Hamburg, Germany",Setlist,
"Tuesday, June 12, 2012",Open Air,"Horsens, Denmark",Setlist,
"Thursday, June 14, 2012",The Globe,"Stockholm, Sweden",Setlist,
"Friday, June 15, 2012",Norwegian Wood Festival,"Oslo, Norway",Setlist,
"Monday, June 18, 2012",Royal Albert Hall,"London, England",Setlist,
,,,Review #1,
,,,Review #2,
"Wednesday, June 20, 2012",Royal Albert Hall,"London, England",Setlist,
"Friday, June 22, 2012",Isle of Wight Festival,"Newport, England",Setlist,
"Sunday, June 24, 2012",Heineken Music Hall,"Amsterdam, The Netherlands",Setlist,
"Monday, June 25, 2012",Lanxess Arena,"Cologne, Germany",Setlist,
"Wednesday, June 27, 2012",Grand Rex,"Paris, France",Setlist,
"Friday, June 29, 2012",Piazza Napoleone,"Lucca, Italy",Setlist,
"Saturday, June 30, 2012",SAP Arena,"Mannheim, Germany",Setlist,
"Thursday, May 16, 2013",The Ford Center,"Evansville, Indiana",Setlist,
"Saturday, May 18, 2013",Hangout Music Festival,"Gulf Shores, Alabama",Setlist,
"Monday, May 20, 2013",Beacon Theatre,"New York City, New York",Setlist,
"Tuesday, May 21, 2013",Beacon Theatre,"New York City, New York",Setlist,
"Thursday, May 23, 2013",Beacon Theatre,"New York City, New York",Setlist,
"Saturday, May 25, 2013",Beacon Theatre,"New York City, New York",Setlist,
"Sunday, May 26, 2013",Beacon Theatre,"New York City, New York",Setlist,
"Monday, June 3, 2013",Henry Fonda Theatre,"Hollywood, California",Setlist,
"Tuesday, June 4, 2013",Henry Fonda Theatre,"Hollywood, California",Setlist,
"Thursday, June 6, 2013",Henry Fonda Theatre,"Hollywood, California",Setlist,
"Saturday, June 8, 2013",Henry Fonda Theatre,"Hollywood, California",Setlist,Show cut short by L.A. Fire Department.
"Sunday, June 9, 2013",Henry Fonda Theatre,"Hollywood, California",Setlist,
"Tuesday, June 11, 2013",Henry Fonda Theatre,"Hollywood, California",Setlist,
"Saturday, June 15, 2013",Klipsch Music Center,"Noblesville, Indiana",Setlist,
"Sunday, June 16, 2013",Bonnaroo Music and Arts Festival,"Manchester, Tennessee",Setlist,
"Tuesday, June 18, 2013",Budweiser Gardens,"London, Ontario",Setlist,
"Thursday, June 20, 2013",Consol Energy Center,"Pittsburgh, Pennsylvania",Setlist,
"Saturday, June 22, 2013",Firefly Music Festival,"Dover, Delaware",Setlist,
"Sunday, June 23, 2013",Saratoga Performing Arts Center,"Saratoga Springs, New York",Setlist,
"Friday, June 28, 2013",Summerfest,"Milwaukee, Wisconsin",Setlist,
,Marcus Amphitheater,,,
"Saturday, June 29, 2013",Target Center,"Minneapolis, Minnesota",Setlist,
"Sunday, August 3, 2014",Viejas Arena,"San Diego, California",Setlist,
"Tuesday, August 5, 2014",Taco Bell Arena,"Boise, Idaho",Setlist,
"Thursday, August 7, 2014",Matthew Knight Arena,"Eugene, Oregon",Setlist,
"Saturday, August 9, 2014",Outside Lands Festival,"San Francisco, California",Setlist,
"Tuesday, August 12, 2014",Moda Center at Rose Quarter,"Portland, Oregon",Setlist,
"Thursday, August 14, 2014",Pepsi Live At Rogers Arena,"Vancouver, British Columbia",Setlist,
"Friday, August 15, 2014",The Gorge,"George, Washington",Setlist,
"Sunday, August 17, 2014",Rexall Center,"Edmonton, Alberta",Setlist,
"Tuesday, August 19, 2014",Scotiabank Saddledome,"Calgary, Alberta",Setlist,
"Thursday, August 21, 2014",MTS Centre,"Winnipeg, Manitoba",Setlist,
"Saturday, August 23, 2014",United Center,"Chicago, Illinois",Setlist,
"Sunday, August 24, 2014",DTE Energy Music Theatre,"Clarkson, Michigan",Setlist,
"Tuesday, August 26, 2014",Air Canada Centre,"Toronto, Ontario",Setlist,
"Thursday, August 28, 2014",Bell Centre,"Montreal, Quebec",Setlist,
"Saturday, August 30, 2014",Fenway Park,"Boston, Massachusetts",Setlist,
"Sunday, August 31, 2014",Cumberland County Civic Center,"Portland, Maine",Setlist,
"Saturday, September 6, 2014",Lockn Festival,"Arrington, Virginia",Setlist,
"Sunday, September 7, 2014",Darien Lake Performing Arts Center,"Darien Lake, New York",Setlist,
"Wednesday, September 10, 2014",Madison Square Garden,"New York City, New York",Setlist,
"Thursday, September 11, 2014",PNC Bank Arts Center,"Holmdel, New Jersey",Setlist,
"Saturday, September 13, 2014",XL Center,"Hartford, Connecticut",Setlist,
"Monday, September 15, 2014",Wells Fargo Center,"Philadelphia, Pennsylvania",Setlist,Special Guest: Steve Winwood
"Tuesday, September 16, 2014",PPL Center,"Allentown, Pennsylvania",Setlist,
"Thursday, September 18, 2014",PNC Arena,"Raleigh, North Carolina",Setlist,
"Saturday, September 20, 2014",Cruzan Amphitheater,"West Palm Beach, Florida",Setlist,
"Sunday, September 21, 2014",Tampa Bay Times Forum,"Tampa, Florida",Setlist,
"Tuesday, September 23, 2014",Bridgestone Arena,"Nashville, Tennessee",Setlist,Special Guest: Steve Winwood
"Thursday, September 25, 2014",Toyota Center,"Houston, Texas",Setlist,
"Friday, September 26, 2014",American Airlines Center,"Dallas, Texas",Setlist,
"Sunday, September 28, 2014",BOK Center,"Tulsa, Oklahoma",Setlist,
"Tuesday, September 30, 2014",Red Rocks Amphitheatre,"Morrison, Colorado",Setlist,
"Wednesday, October 1, 2014",Red Rocks Amphitheatre,"Morrison, Colorado",Setlist,Special Guest: Steve Winwood
"Friday, October 3, 2014",Red Rocks Amphitheatre,"Morrison, Colorado",Setlist,
"Sunday, October 5, 2014",SAP Center,"San Jose, California",Setlist,
"Tuesday, October 7, 2014",Honda Center,"Anaheim, California",Setlist,
"Friday, October 10, 2014",The Forum,"Los Angeles, California",Setlist,
"Saturday, October 11, 2014",The Forum,"Los Angeles, California",Setlist,
"Monday, May 23, 2016",From Northridge With Love,"Northridge, California",,
,Plaza Del Sol Performing Arts Center,,,
"Tuesday, May 24, 2016",From Northridge With Love,"Northridge, California",,
,Plaza Del Sol Performing Arts Center,,,
"Thursday, May 26, 2016",Ogden Theatre,"Denver, Colorado",,
"Saturday, May 28, 2016",The Riviera,"Chicago, Illinois",,
"Sunday, May 29, 2016",Summer Camp Music Festival,"Chillicothe, Illinois",,
"Tuesday, May 31, 2006",Ryman Auditorium,"Nashville, Tennesee",,
"Thursday, June 2, 2016",The Tabernacle,"Atlanta, Georgia",,
"Friday, June 3, 2016",Bunbury Music Festival,"Cincinnati, Ohio",,
"Monday, June 6, 2016",9:30 Club,"Washington, D.C.",,
"Tuesday, June 7, 2016",The Fillmore,"Philadelphia, Pennsylvania",,
"Friday, June 10, 2016",Webster Hall,"New York City, New York",,
"Saturday, June 11, 2016",Webster Hall,"New York City, New York",,
"Tuesday, June 14, 2016",Capitol Theater,"Port Chester, New York",,
"Wednesday, June 19, 2016",The Fillmore,"San Francisco, California",,
"Monday, June 20, 2016",The Fillmore,"San Francisco, California",,
"Wednesday, June 22, 2016",Fox Theater,"Oakland, California",,
"Saturday, June 25, 2016",The Fonda,"Los Angeles, California",,
"Sunday, June 26, 2016",The Fonda,"Los Angeles, California",,
"Tuesday, June 28, 2016",The Observatory,"Santa Ana, California",,
"Thursday, June 30, 2016",Humphrey's Concerts by the Bay,"San Diego, California",,
"Thursday, April 20, 2017",Cheseapeake Energy Arena,"Oklahoma City, Oklahoma",Setlist,
"Saturday, April 22, 2017",American Airlines Arena,"Dallas, Texas",Setlist,
"Sunday, April 23, 2017",Verizon Wireless arena,"Little Rock, Arkansas",Setlist,
"Tuesday, April 25, 2017",Bridgestone Arena,"Nashville, Tennessee",Setlist,
"Thursday, April 27, 2017",Philips Arena,"Atlanta, Georgia",Setlist,
"Saturday, April 29, 2017",Cynthia Woods Mitchell Pavilion,"The Woodlands, Texas",Setlist,
"Sunday, April 30, 2017",New Orleans Jazz & Heritage Festival,"New Orleans, Lousiana",Setlist,
"Tuesday, May 2, 2017",Frank Erwin Center,"Austin, Texas",Setlist,Special Guest: Gary Clark. Jr.
"Friday, May 5, 2017",Perfect Vodka Amphitheatre,"West Palm Beach, Florida",Setlist,
"Saturday, May 6, 2017",Amalie Arena,"Tampa, Florida",Setlist,
"Monday, May 8, 2017",FedEx Forum,"Memphis, Tennessee",Setlist,
"Wednesday, May 10, 2017",State Farm Center,"Champaign, Illinois",Setlist,
"Friday, May 12, 2017",Scottrade Center,"St. Louis, Missouri",Setlist,
"Saturday, May 13, 2017",Klipsch Music Center,"Noblesville, Indiana",Setlist,
"Saturday, May 27, 2017",BottleRock,"Napa, California",Setlist,
"Monday, May 29, 2017",Red Rocks Amphitheatre,"Morrison, Colorado",Setlist,
"Tuesday, May 30, 2017",Red Rocks Amphitheatre,"Morrison, Colorado",Setlist,
"Friday, June 2, 2017",Sprint Center,"Kansas City, Missouri",Setlist,
"Saturday, June 3, 2017",Xcel Energy Center,"St. Paul, Minnesota",Setlist,
"Monday, June 5, 2017",Wells Fargo Arena,"Des Moines, Iowa",Setlist,
"Wednesday, June 7, 2017",Schottenstein Center,"Columbus, Ohio",Setlist,
"Friday, June 9, 2017",PPG Paints Arena,"Pittsburgh, Pennsylvania",Setlist,
"Saturday, June 10, 2017",Quicken Loans Arena,"Cleveland, Ohio",Setlist,
"Monday, June 12, 2017",US Bank Arena,"Cincinnati, Ohio",Setlist,
"Wednesday, June 14, 2017",Xfinity Center,"Hartford, Connecticut",Setlist,
"Friday, June 16, 2017",Prudential Center,"Newark, New Jersey",Setlist,
"Saturday, June 17, 2017",Mountain Jam Festival,"Hunter Mountain, New York",Setlist,Special Guest: Marty Stuart
"Saturday, June 24, 2017",Arroyo Seco Weekend 2017,"Pasadena, California",Setlist,
"Thursday, June 29, 2017",Wrigley Field,"Chicago, Illinois",Setlist,
"Saturday, July 1, 2017",Wells Fargo Center,"Philadelphia, Pennsylvania",Setlist,
"Sunday, July 2, 2017",Constellation Brands Marvin Sands Performing Arts Center,"Canandaigua, New York",Setlist,
"Wednesday, July 5, 2017",Summerfest,"Milwaukee, Wisconsin",Setlist,
,Marcus Amphitheater,,,
"Thursday, July 6, 2017",Summerfest,"Milwaukee, Wisconsin",Setlist,
,Marcus Amphitheater,,,
"Sunday, July 9, 2017",Hyde Park,"London, England",Setlist,Special Guest: Stevie Nicks
"Saturday, July 15, 2017",Air Canada Centre,"Toronto, Ontario",Setlist,
"Sunday, July 16, 2017",RBC Ottawa Blues Festival,"Ottawa, Ontario",Setlist,
"Tuesday, July 18, 2017",DTE Energy Center,"Clarkson, Michigan",Setlist,
"Thursday, July 20, 2017",TD Garden,"Boston, Massachusetts",Setlist,
"Friday, July 21, 2017",TD Garden,"Boston, Massachusetts",Setlist,
"Sunday, July 23, 2015",Royal Farms Arena,"Baltimore, Maryland",Setlist,
"Wednesday, July 26, 2017",Forest Hills Tennis Stadium,"Forest Hills, New York",Setlist,
"Thursday, July 27, 2017",Forest Hills Tennis Stadium,"Forest Hills, New York",Setlist,
"Saturday, July 29, 2017",Wells Fargo Center,"Philadelphia, Pennsylvania",Setlist,
"Thursday, August 17, 2017",Pepsi Live at Rogers Arena,"Vancouver, British Columbia",Setlist,
"Saturday, August 19, 2017",Safeco Field,"Seattle, Washington",Setlist,
"Tuesday, August 22, 2017",Greek Theatre,"Berkeley, California",Setlist,
"Monday, August 28, 2017",Greek Theatre,"Berkeley, California",Setlist,Postponed from August 23
"Wednesday, August 30, 2017",Greek Theatre,"Berkeley, California",Setlist,Postponed from August 27
"Friday, September 1, 2017",Golden 1 Center,"Sacramento, California",Setlist,Postponed from August 25
"Sunday, September 17, 2017",KAABOO Festival,"Del Mar, California",Setlist,
,Del Mar Fairgrounds,,,
"Thursday, September 21, 2017",Hollywood Bowl,"Los Angeles, California",Setlist,
"Friday, September 22, 2017",Hollywood Bowl,"Los Angeles, California",Setlist,
"Monday, September 25, 2017",Hollywood Bowl,"Los Angeles, California",Setlist,
